id,isPartOf,name_isPartOf,isPartOf2,name_isPartOf2,EXPORT
ceska_zemedelska_univerzita,public_uni,Veřejné vysoké školy,edu,Školství,"ceska_zemedelska_univerzita---Česká zemědělská univerzita v Praze|||Kamýcká 129, 165 21 Praha 6 - Suchdol|||http://czu.cz/|||http://vskp.czu.cz/"
cvut,public_uni,Veřejné vysoké školy,edu,Školství,"cvut---České vysoké učení technické v Praze|||Zikova 1903/4, 166 36 Praha 6|||https://www.cvut.cz/|||"
jihoceska_univerzita_v_ceskych_budejovicich,public_uni,Veřejné vysoké školy,edu,Školství,"jihoceska_univerzita_v_ceskych_budejovicich---Jihočeská univerzita v Českých Budějovicích|||Husova 458, 370 05 České Budějovice|||http://www.jcu.cz|||http://www.jcu.cz/vskp/"
katedra_socialni_geografie_prf,public_uni,Veřejné vysoké školy,edu,Školství,"katedra_socialni_geografie_prf---Katedra sociální geografie a regionálního rozvoje PřF UK|||Albertov 6, 128 43 Praha 2|||https://www.natur.cuni.cz/geografie/socialni-geografie-a-regionalni-rozvoj|||"
masarykova_univerzita,public_uni,Veřejné vysoké školy,edu,Školství,"masarykova_univerzita---Masarykova univerzita|||Žerotínovo nám. 617/9, 601 77 Brno|||https://www.muni.cz/|||"
mendelova_univerzita_v_brne,public_uni,Veřejné vysoké školy,edu,Školství,"mendelova_univerzita_v_brne---Mendelova univerzita v Brně|||Zemědělská 1/1665, 613 00 Brno|||http://mendelu.cz/|||http://is.mendelu.cz/zp/"
ostravska_univerzita,public_uni,Veřejné vysoké školy,edu,Školství,"ostravska_univerzita---Ostravská univerzita|||Dvořákova 7, 701 03  Ostrava|||http://www.osu.cz/|||"
ujep,public_uni,Veřejné vysoké školy,edu,Školství,"ujep---Univerzita Jana Evangelisty Purkyně|||Pasteurova 3544/1, 400 96 Ústí nad Labem|||https://www.ujep.cz/cs/|||"
univerzita_karlova_v_praze,public_uni,Veřejné vysoké školy,edu,Školství,"univerzita_karlova_v_praze---Univerzita Karlova|||Ovocný trh 5, 116 36 Praha 1|||http://cuni.cz/|||https://dspace.cuni.cz/"
upce,public_uni,Veřejné vysoké školy,edu,Školství,"upce---Univerzita Pardubice|||Studentská 519, 532 10 Pardubice|||http://www.upce.cz/|||http://www.upce.cz/knihovna/index.html"
ustav_pro_dejiny_umeni_ff_uk,public_uni,Veřejné vysoké školy,edu,Školství,"ustav_pro_dejiny_umeni_ff_uk---Ústav pro dějiny umění FF UK|||Celetná 20, 116 12 Praha 1|||http://udu2.ff.cuni.cz|||http://udu2.ff.cuni.cz/node/18"
vscht,public_uni,Veřejné vysoké školy,edu,Školství,"vscht---Vysoká škola chemicko-technologická v Praze|||Technická 5, 166 28 Praha 6|||http://www.vscht.cz/|||"
vutbr,public_uni,Veřejné vysoké školy,edu,Školství,"vutbr---Vysoké učení technické v Brně‎|||Antonínská 548/1, 601 90 Brno|||http://www.vutbr.cz/|||http://www.vutbr.cz/knihovny/"
vysoka_skola_ekonomicka_v_praze,public_uni,Veřejné vysoké školy,edu,Školství,"vysoka_skola_ekonomicka_v_praze---Vysoká škola ekonomická v Praze|||nám. W. Churchilla 4, 130 67 Praha 3|||http://www.vse.cz|||http://ciks.vse.cz/knihovna/"
zapadoceska_univerzita,public_uni,Veřejné vysoké školy,edu,Školství,"zapadoceska_univerzita---Západočeská univerzita v Plzni|||Univerzitní  8/2732, 301 00 Plzeň|||https://www.zcu.cz/|||"
centrum_dopravniho_vyzkumu,vvi,Veřejné výzkumné instituce,research,Věda a výzkum,"centrum_dopravniho_vyzkumu---Centrum dopravního výzkumu, v.v.i. Brno|||Líšeňská 33a, 636 00 Brno|||http://www.cdv.cz/|||"
centrum_pro_studium_vysokeho_skolstvi,vvi,Veřejné výzkumné instituce,research,Věda a výzkum,"centrum_pro_studium_vysokeho_skolstvi---Centrum pro studium vysokého školství|||U Dvou srpů 2024/2, Praha 5 - Smíchov|||http://www.csvs.cz/|||"
ustav_archeologicke_pamatkove_pece_severozapadnich_cech,vvi,Veřejné výzkumné instituce,research,Věda a výzkum,"ustav_archeologicke_pamatkove_pece_severozapadnich_cech---Ústav archeologické památkové péče severozápadních Čech, v.v.i.|||Jana Žižky 835, Most 434 01 |||http://www.uappmost.cz/wp/|||"
vugtk,vvi,Veřejné výzkumné instituce,research,Věda a výzkum,"vugtk---Výzkumný ústav geodetický, topografický a kartografický|||Ústecká 98, 250 66 Zdiby|||http://www.vugtk.cz/|||"
vyzkumny_ustav_bezpecnosti_prace,vvi,Veřejné výzkumné instituce,research,Věda a výzkum,"vyzkumny_ustav_bezpecnosti_prace---Výzkumný ústav bezpečnosti práce, v.v.i.|||Jeruzalémská 9, 116 52 Praha 1|||http://www.vubp.cz/|||https://www.vubp.cz/knihovna"
vyzkumny_ustav_lesniho_hospodarstvi_a_myslivosti,vvi,Veřejné výzkumné instituce,research,Věda a výzkum,"vyzkumny_ustav_lesniho_hospodarstvi_a_myslivosti---Výzkumný ústav lesního hospodářství a myslivosti, v.v.i.|||Strnady 136, 252 02 Jíloviště|||http://www.vulhm.cz/|||"
vyzkumny_ustav_potravinarsky,vvi,Veřejné výzkumné instituce,research,Věda a výzkum,"vyzkumny_ustav_potravinarsky---Výzkumný ústav potravinářský Praha, v.v.i.|||Radiová 1285/7, 102 00 Praha|||http://www.vupp.cz|||"
vyzkumny_ustav_prace_a_socialnich_veci,vvi,Veřejné výzkumné instituce,research,Věda a výzkum,"vyzkumny_ustav_prace_a_socialnich_veci---Výzkumný ústav práce a sociálních věcí, v.v.i.|||Palackého náměstí 4, 128 01 Praha 2|||http://www.vupsv.cz/|||https://www.vupsv.cz/knihovna/"
vyzkumny_ustav_rostlinne_vyroby,vvi,Veřejné výzkumné instituce,research,Věda a výzkum,"vyzkumny_ustav_rostlinne_vyroby---Výzkumný ústav rostlinné výroby|||Karlštejn 26, 267 18 Karlštejn|||http://www.vurv.cz/|||https://www.vurv.cz/index.php?p=knihovna&site=pro_verejnost"
vyzkumny_ustav_silva_taroucy,vvi,Veřejné výzkumné instituce,research,Věda a výzkum,"vyzkumny_ustav_silva_taroucy---Výzkumný ústav Silva Taroucy pro krajinu a okrasné zahradnictví, v.v.i.|||Květnové náměstí 391, 252 43 Průhonice|||http://www.vukoz.cz/|||http://www.vukoz.cz/index.php/knihovna"
agritec,vi,Výzkumné ústavy,research,Věda a výzkum,"agritec---AGRITEC - výzkum, šlechtění, služby s.r.o.‎|||Zemědělská 2520/16, 78701 Šumperk|||http://www.agritec.cz/|||http://www.agritec.cz/cs/knihovna-agritec"
agrotest_fyto,vi,Výzkumné ústavy,research,Věda a výzkum,"agrotest_fyto---Agrotest fyto, s.r.o.|||Havlíčkova 2787/121, 767 01 Kroměříž|||http://www.vukrom.cz/|||https://www.vukrom.cz/cz/knihovna.html"
centrum_pro_regionalni_rozvoj,vi,Výzkumné ústavy,research,Věda a výzkum,"centrum_pro_regionalni_rozvoj---Centrum pro regionální rozvoj České republiky|||U Nákladového nádraží 3144/4, 130 00  Praha 3|||http://www.crr.cz|||"
chmelarsky_institut,vi,Výzkumné ústavy,research,Věda a výzkum,"chmelarsky_institut---Chmelařský institut|||Kadaňská 2525, 438 01 Žatec|||http://www.chizatec.cz/|||"
narodni_informacni_a_poradenske_stredisko_pro_kulturu,vi,Výzkumné ústavy,research,Věda a výzkum,"narodni_informacni_a_poradenske_stredisko_pro_kulturu---Národní informační a poradenské středisko pro kulturu (NIPOS)|||Fügnerovo náměstí 1866/5, 120 21 Praha 2|||http://www.nipos-mk.cz/|||"
oseva,vi,Výzkumné ústavy,research,Věda a výzkum,"oseva---OSEVA vývoj a výzkum s.r.o.|||Hamerská 698, 756 54 Zubří|||http://www.oseva-vav.cz|||"
ustav_pro_studium_totalitnich_rezimu,vi,Výzkumné ústavy,research,Věda a výzkum,"ustav_pro_studium_totalitnich_rezimu---Ústav pro studium totalitních režimů|||Siwiecova 2, 130 00 Praha 3|||http://www.ustrcr.cz/|||http://www.ustrcr.cz/cs/knihovna-jana-langose"
vvud,vi,Výzkumné ústavy,research,Věda a výzkum,"vvud---Výzkumný a vývojový ústav dřevařský, Praha, s.p.|||Na Florenci 7-9, 111 71 Praha 1|||http://www.vvud.cz|||"
